N matrix d Alg throughput
8 chessboard-8 2 Floor 0.46875
8 chessboard-8 2 Rounding 0.48246
8 chessboard-8 3 Floor 0.64103
8 chessboard-8 3 Rounding 0.63380
8 chessboard-8 4 Floor 0.71203
8 chessboard-8 4 Rounding 0.83333
8 chessboard-8 5 Floor 0.79412
8 chessboard-8 5 Rounding 0.84615
8 chessboard-8 6 Floor 0.84270
8 chessboard-8 6 Rounding 0.86538
8 chessboard-8 7 Floor 0.84137
8 chessboard-8 7 Rounding 0.84586
8 uniform-8 2 Floor 0.43750
8 uniform-8 2 Rounding 0.48611
8 uniform-8 3 Floor 0.61404
8 uniform-8 3 Rounding 0.62222
8 uniform-8 4 Floor 0.68056
8 uniform-8 4 Rounding 0.70000
8 uniform-8 5 Floor 0.77778
8 uniform-8 5 Rounding 0.77313
8 uniform-8 6 Floor 0.87500
8 uniform-8 6 Rounding 0.87500
8 uniform-8 7 Floor 1.00000
8 uniform-8 7 Rounding 1.00000
8 permutation-8 2 Floor 1.00000
8 permutation-8 2 Rounding 1.00000
8 permutation-8 3 Floor 1.00000
8 permutation-8 3 Rounding 1.00000
8 permutation-8 4 Floor 1.00000
8 permutation-8 4 Rounding 1.00000
8 permutation-8 5 Floor 1.00000
8 permutation-8 5 Rounding 1.00000
8 permutation-8 6 Floor 1.00000
8 permutation-8 6 Rounding 1.00000
8 permutation-8 7 Floor 1.00000
8 permutation-8 7 Rounding 1.00000
8 random-skewed-8 2 Floor 0.64050
8 random-skewed-8 2 Rounding 0.65053
8 random-skewed-8 3 Floor 0.75215
8 random-skewed-8 3 Rounding 0.76147
8 random-skewed-8 4 Floor 0.79316
8 random-skewed-8 4 Rounding 0.81688
8 random-skewed-8 5 Floor 0.81214
8 random-skewed-8 5 Rounding 0.84895
8 random-skewed-8 6 Floor 0.83413
8 random-skewed-8 6 Rounding 0.89180
8 random-skewed-8 7 Floor 0.84802
8 random-skewed-8 7 Rounding 0.90746
8 skew-8-0.1 2 Floor 0.46358
8 skew-8-0.1 2 Rounding 0.49296
8 skew-8-0.1 3 Floor 0.62874
8 skew-8-0.1 3 Rounding 0.64635
8 skew-8-0.1 4 Floor 0.69602
8 skew-8-0.1 4 Rounding 0.71429
8 skew-8-0.1 5 Floor 0.79545
8 skew-8-0.1 5 Rounding 0.78378
8 skew-8-0.1 6 Floor 0.83460
8 skew-8-0.1 6 Rounding 0.85784
8 skew-8-0.1 7 Floor 0.89783
8 skew-8-0.1 7 Rounding 0.93023
8 skew-8-0.2 2 Floor 0.46875
8 skew-8-0.2 2 Rounding 0.51170
8 skew-8-0.2 3 Floor 0.62130
8 skew-8-0.2 3 Rounding 0.66351
8 skew-8-0.2 4 Floor 0.70402
8 skew-8-0.2 4 Rounding 0.72917
8 skew-8-0.2 5 Floor 0.76166
