N matrix d Alg throughput SH
8 chessboard-8 2 RRG 0.3399287910157475 0.09799705125792095
8 chessboard-8 2 Floor 0.43499999999999994 0.1389687499999998
8 chessboard-8 2 Rounding 0.4275 0.13570833333333315
8 chessboard-8 2 Circle 0.2499999999999999 0.05000000000000012
8 chessboard-8 3 RRG 0.548468903804306 0.24595370038231001
8 chessboard-8 3 Floor 0.5774999999999999 0.26808333333333345
8 chessboard-8 3 Rounding 0.5700000000000001 0.27253724747474756
8 chessboard-8 3 Circle 0.2500000000000001 0.05000000000000001
8 chessboard-8 4 RRG 0.6516564487419505 0.3786007039064701
8 chessboard-8 4 Floor 0.6849999999999999 0.41774999999999973
8 chessboard-8 4 Rounding 0.6375000000000001 0.3780132575757577
8 chessboard-8 4 Circle 0.2499999999999999 0.05000000000000012
8 chessboard-8 5 RRG 0.7197045402927756 0.5156442921148804
8 chessboard-8 5 Floor 0.765 0.5710625
8 chessboard-8 5 Rounding 0.74 0.5397585526315787
8 chessboard-8 5 Circle 0.25 0.049999999999999996
8 chessboard-8 6 RRG 0.7820271833429728 0.6704513688066314
8 chessboard-8 6 Floor 0.7825 0.6768333333333332
8 chessboard-8 6 Rounding 0.8125 0.7050644841269837
8 chessboard-8 6 Circle 0.2500000000000001 0.05000000000000001
8 chessboard-8 7 RRG 0.7983193277310924 0.7310924369747902
8 chessboard-8 7 Floor 0.8075000000000001 0.6822065476190471
8 chessboard-8 7 Rounding 0.7975000000000001 0.6519859307359307
8 chessboard-8 7 Circle 0.2500000000000001 0.04999999999999987
8 uniform-8 2 RRG 0.3897727272727273 0.13522727272727247
8 uniform-8 2 Floor 0.4125 0.1193452380952383
8 uniform-8 2 Rounding 0.42749999999999994 0.12214285714285716
8 uniform-8 2 Circle 0.2500000000000001 0.03571428571428581
8 uniform-8 3 RRG 0.5660387660387661 0.24258804258804267
8 uniform-8 3 Floor 0.59 0.2533184523809526
8 uniform-8 3 Rounding 0.5525 0.22708333333333328
8 uniform-8 3 Circle 0.24999999999999992 0.03571428571428561
8 uniform-8 4 RRG 0.6746936274509804 0.3860906862745098
8 uniform-8 4 Floor 0.6675 0.3744047619047618
8 uniform-8 4 Rounding 0.6224999999999999 0.31401041666666657
8 uniform-8 4 Circle 0.2500000000000001 0.03571428571428581
8 uniform-8 5 RRG 0.748496732026144 0.5346405228758168
8 uniform-8 5 Floor 0.7424999999999999 0.5291071428571428
8 uniform-8 5 Rounding 0.6774999999999999 0.39626736111111077
8 uniform-8 5 Circle 0.25000000000000006 0.03571428571428574
8 uniform-8 6 RRG 0.875 0.75
8 uniform-8 6 Floor 0.87 0.7457142857142856
8 uniform-8 6 Rounding 0.76 0.5464949370552815
8 uniform-8 6 Circle 0.24999999999999992 0.03571428571428561
8 uniform-8 7 RRG 1.0 1.0
8 uniform-8 7 Floor 1.0 1.0
8 uniform-8 7 Rounding 1.0 1.0
8 uniform-8 7 Circle 0.25 0.03571428571428571
8 permutation-8 2 RRG 0.3514655172413793 0.1476690108892922
8 permutation-8 2 Floor 1.0 1.0
8 permutation-8 2 Rounding 1.0 1.0
