N matrix d Alg SH throughput
8 chessboard-8 2 Optimal NA 0.5357144713673285
8 chessboard-8 3 Optimal NA 0.6578947368421053
8 chessboard-8 4 Optimal NA 0.8333333333333334
8 chessboard-8 5 Optimal NA 0.8750000089748408
8 chessboard-8 6 Optimal NA 0.8653846228675646
8 chessboard-8 7 Optimal NA 0.8571429021236509
8 uniform-8 2 Optimal NA 0.5250001281335808
8 uniform-8 3 Optimal NA 0.6363636363636364
8 uniform-8 4 Optimal NA 0.7000000999434333
8 uniform-8 5 Optimal NA 0.777777790839229
8 uniform-8 6 Optimal NA 0.8750000129116507
8 uniform-8 7 Optimal NA 1.0
8 permutation-8 2 Optimal NA 1.0
8 permutation-8 3 Optimal NA 1.0
8 permutation-8 4 Optimal NA 1.0
8 permutation-8 5 Optimal NA 1.0
8 permutation-8 6 Optimal NA 1.0
8 permutation-8 7 Optimal NA 1.0
8 random-skewed-8 2 Optimal NA 0.6909356005480813
8 random-skewed-8 3 Optimal NA 0.8106182972333993
8 random-skewed-8 4 Optimal NA 0.8437805940580813
8 random-skewed-8 5 Optimal NA 0.8922566506793382
8 random-skewed-8 6 Optimal NA 0.9026827776332996
8 random-skewed-8 7 Optimal NA 0.9128184622170048
8 skew-8-0.1 2 Optimal NA 0.5384617063748549
8 skew-8-0.1 3 Optimal NA 0.6603773899865709
8 skew-8-0.1 4 Optimal NA 0.7216495053416859
8 skew-8-0.1 5 Optimal NA 0.7954545454545453
8 skew-8-0.1 6 Optimal NA 0.8596491228070177
8 skew-8-0.1 7 Optimal NA 0.9302325581395355
8 skew-8-0.2 2 Optimal NA 0.5537975856039239
8 skew-8-0.2 3 Optimal NA 0.6782946309035882
8 skew-8-0.2 4 Optimal NA 0.7446808995090709
8 skew-8-0.2 5 Optimal NA 0.7777777777777778
8 skew-8-0.2 6 Optimal NA 0.8166666666666667
8 skew-8-0.2 7 Optimal NA 0.8950617398743899
8 skew-8-0.3 2 Optimal NA 0.5882353735504406
8 skew-8-0.3 3 Optimal NA 0.6918239906014706
8 skew-8-0.3 4 Optimal NA 0.7352941176470589
8 skew-8-0.3 5 Optimal NA 0.7692307858714681
8 skew-8-0.3 6 Optimal NA 0.8333333615074698
8 skew-8-0.3 7 Optimal NA 0.8571428659809189
8 skew-8-0.4 2 Optimal NA 0.6250000872329637
8 skew-8-0.4 3 Optimal NA 0.701275107613159
8 skew-8-0.4 4 Optimal NA 0.7446808510638298
8 skew-8-0.4 5 Optimal NA 0.7954545454545455
8 skew-8-0.4 6 Optimal NA 0.8045977076713196
8 skew-8-0.4 7 Optimal NA 0.8536585365853661
8 skew-8-0.5 2 Optimal NA 0.6447368671122374
8 skew-8-0.5 3 Optimal NA 0.6862745098039215
8 skew-8-0.5 4 Optimal NA 0.7668539325842696
8 skew-8-0.5 5 Optimal NA 0.7839999999999998
8 skew-8-0.5 6 Optimal NA 0.8235294257558496
8 skew-8-0.5 7 Optimal NA 0.8333333350857908
8 skew-8-0.6 2 Optimal NA 0.6314433071874372
8 skew-8-0.6 3 Optimal NA 0.7142857541289437
8 skew-8-0.6 4 Optimal NA 0.7747396512397807
8 skew-8-0.6 5 Optimal NA 0.8076923575522857
8 skew-8-0.6 6 Optimal NA 0.8203125
8 skew-8-0.6 7 Optimal NA 0.8536585440805577
