mygrep n d matrix alg k throughputSH throughputMH
mygrep 8 4 chessboard-8 rotornet 1 0.625 0.698529411764706
mygrep 8 4 chessboard-8 vermilion 2 0.625 1
mygrep 8 4 chessboard-8 vermilion 3 0.8333333333333334 1
mygrep 8 4 chessboard-8 vermilion 4 0.7812500000000001 1
mygrep 8 4 chessboard-8 vermilion 5 0.8750000000000001 1
mygrep 8 4 chessboard-8 vermilion 6 0.8333333333333334 1
mygrep 8 4 uniform-8 rotornet 1 0.875 0.8750000000000001
mygrep 8 4 uniform-8 vermilion 2 0.875 1
mygrep 8 4 uniform-8 vermilion 3 0.875 1
mygrep 8 4 uniform-8 vermilion 4 0.875 1
mygrep 8 4 uniform-8 vermilion 5 0.875 1
mygrep 8 4 uniform-8 vermilion 6 0.875 1
mygrep 8 4 permutation-8 rotornet 1 0.125 0.5
mygrep 8 4 permutation-8 vermilion 2 0.5625 1
mygrep 8 4 permutation-8 vermilion 3 0.7083333333333333 1
mygrep 8 4 permutation-8 vermilion 4 0.78125 1
mygrep 8 4 permutation-8 vermilion 5 0.8250000000000001 1
mygrep 8 4 permutation-8 vermilion 6 0.8541666666666666 1
mygrep 8 4 skew-8-0.1 rotornet 1 0.546875 0.813953488372093
mygrep 8 4 skew-8-0.1 vermilion 2 0.546875 1
mygrep 8 4 skew-8-0.1 vermilion 3 0.7291666666666665 1
mygrep 8 4 skew-8-0.1 vermilion 4 0.8203124999999999 1
mygrep 8 4 skew-8-0.1 vermilion 5 0.875 1
mygrep 8 4 skew-8-0.1 vermilion 6 0.9114583333333331 1
mygrep 8 4 skew-8-0.2 rotornet 1 0.39772727272727276 0.7608695652173914
mygrep 8 4 skew-8-0.2 vermilion 2 0.5468750000000001 1
mygrep 8 4 skew-8-0.2 vermilion 3 0.7291666666666667 1
mygrep 8 4 skew-8-0.2 vermilion 4 0.7954545454545455 1
mygrep 8 4 skew-8-0.2 vermilion 5 0.8750000000000002 1
mygrep 8 4 skew-8-0.2 vermilion 6 0.8617424242424242 1
mygrep 8 4 skew-8-0.3 rotornet 1 0.3125 0.7142857142857144
mygrep 8 4 skew-8-0.3 vermilion 2 0.625 1
mygrep 8 4 skew-8-0.3 vermilion 3 0.7291666666666666 1
mygrep 8 4 skew-8-0.3 vermilion 4 0.7812500000000001 1
mygrep 8 4 skew-8-0.3 vermilion 5 0.8125000000000001 1
mygrep 8 4 skew-8-0.3 vermilion 6 0.8854166666666666 1
mygrep 8 4 skew-8-0.4 rotornet 1 0.2573529411764706 0.6730769230769231
mygrep 8 4 skew-8-0.4 vermilion 2 0.5147058823529412 1
mygrep 8 4 skew-8-0.4 vermilion 3 0.6862745098039216 1
mygrep 8 4 skew-8-0.4 vermilion 4 0.7720588235294119 1
mygrep 8 4 skew-8-0.4 vermilion 5 0.8235294117647061 1
mygrep 8 4 skew-8-0.4 vermilion 6 0.857843137254902 1
mygrep 8 4 skew-8-0.5 rotornet 1 0.21874999999999997 0.6363636363636364
mygrep 8 4 skew-8-0.5 vermilion 2 0.5468749999999999 1
mygrep 8 4 skew-8-0.5 vermilion 3 0.7291666666666665 1
mygrep 8 4 skew-8-0.5 vermilion 4 0.7656249999999999 1
mygrep 8 4 skew-8-0.5 vermilion 5 0.8312499999999999 1
mygrep 8 4 skew-8-0.5 vermilion 6 0.8749999999999999 1
mygrep 8 4 skew-8-0.6 rotornet 1 0.19021739130434784 0.603448275862069
mygrep 8 4 skew-8-0.6 vermilion 2 0.5706521739130435 1
mygrep 8 4 skew-8-0.6 vermilion 3 0.7291666666666667 1
mygrep 8 4 skew-8-0.6 vermilion 4 0.7608695652173914 1
mygrep 8 4 skew-8-0.6 vermilion 5 0.8369565217391305 1
mygrep 8 4 skew-8-0.6 vermilion 6 0.8559782608695652 1
mygrep 8 4 skew-8-0.7 rotornet 1 0.16826923076923078 0.5737704918032789
mygrep 8 4 skew-8-0.7 vermilion 2 0.5048076923076924 1
mygrep 8 4 skew-8-0.7 vermilion 3 0.6730769230769231 1
mygrep 8 4 skew-8-0.7 vermilion 4 0.7572115384615385 1
mygrep 8 4 skew-8-0.7 vermilion 5 0.8076923076923079 1
mygrep 8 4 skew-8-0.7 vermilion 6 0.841346153846154 1
mygrep 8 4 skew-8-0.8 rotornet 1 0.15086206896551724 0.546875
mygrep 8 4 skew-8-0.8 vermilion 2 0.5280172413793103 1
mygrep 8 4 skew-8-0.8 vermilion 3 0.704022988505747 1
mygrep 8 4 skew-8-0.8 vermilion 4 0.7543103448275862 1
mygrep 8 4 skew-8-0.8 vermilion 5 0.8448275862068966 1
mygrep 8 4 skew-8-0.8 vermilion 6 0.8548850574712642 1
mygrep 8 4 skew-8-0.9 rotornet 1 0.13671875 0.5223880597014926
mygrep 8 4 skew-8-0.9 vermilion 2 0.546875 1
mygrep 8 4 skew-8-0.9 vermilion 3 0.68359375 1
mygrep 8 4 skew-8-0.9 vermilion 4 0.751953125 1
mygrep 8 4 skew-8-0.9 vermilion 5 0.8203125 1
mygrep 8 4 skew-8-0.9 vermilion 6 0.8430989583333333 1
mygrep 16 4 chessboard-16 rotornet 1 0.6458333333333333 0.7336165048543691
mygrep 16 4 chessboard-16 vermilion 2 0.6458333333333333 1
mygrep 16 4 chessboard-16 vermilion 3 0.8611111111111109 1
mygrep 16 4 chessboard-16 vermilion 4 0.8072916666666665 1
mygrep 16 4 chessboard-16 vermilion 5 0.9041666666666667 1
mygrep 16 4 chessboard-16 vermilion 6 0.8611111111111109 1
mygrep 16 4 uniform-16 rotornet 1 0.9375 0.9374999999999999
mygrep 16 4 uniform-16 vermilion 2 0.9375 1
mygrep 16 4 uniform-16 vermilion 3 0.9375 1
mygrep 16 4 uniform-16 vermilion 4 0.9375 1
mygrep 16 4 uniform-16 vermilion 5 0.9375 1
mygrep 16 4 uniform-16 vermilion 6 0.9375 1
mygrep 16 4 permutation-16 rotornet 1 0.0625 0.5
mygrep 16 4 permutation-16 vermilion 2 0.53125 1
mygrep 16 4 permutation-16 vermilion 3 0.6875 1
mygrep 16 4 permutation-16 vermilion 4 0.765625 1
mygrep 16 4 permutation-16 vermilion 5 0.8125 1
