N matrix d Alg throughput
8 chessboard-8 2 RRG 0.3399287910157475
8 chessboard-8 2 Floor 0.43499999999999994
8 chessboard-8 2 Rounding 0.4275
8 chessboard-8 2 Circle 0.2499999999999999
8 chessboard-8 3 RRG 0.548468903804306
8 chessboard-8 3 Floor 0.5774999999999999
8 chessboard-8 3 Rounding 0.5700000000000001
8 chessboard-8 3 Circle 0.2500000000000001
8 chessboard-8 4 RRG 0.6516564487419505
8 chessboard-8 4 Floor 0.6849999999999999
8 chessboard-8 4 Rounding 0.6375000000000001
8 chessboard-8 4 Circle 0.2499999999999999
8 chessboard-8 5 RRG 0.7197045402927756
8 chessboard-8 5 Floor 0.765
8 chessboard-8 5 Rounding 0.74
8 chessboard-8 5 Circle 0.25
8 chessboard-8 6 RRG 0.7820271833429728
8 chessboard-8 6 Floor 0.7825
8 chessboard-8 6 Rounding 0.8125
8 chessboard-8 6 Circle 0.2500000000000001
8 chessboard-8 7 RRG 0.7983193277310924
8 chessboard-8 7 Floor 0.8075000000000001
8 chessboard-8 7 Rounding 0.7975000000000001
8 chessboard-8 7 Circle 0.2500000000000001
8 uniform-8 2 RRG 0.3897727272727273
8 uniform-8 2 Floor 0.4125
8 uniform-8 2 Rounding 0.42749999999999994
8 uniform-8 2 Circle 0.2500000000000001
8 uniform-8 3 RRG 0.5660387660387661
8 uniform-8 3 Floor 0.59
8 uniform-8 3 Rounding 0.5525
8 uniform-8 3 Circle 0.24999999999999992
8 uniform-8 4 RRG 0.6746936274509804
8 uniform-8 4 Floor 0.6675
8 uniform-8 4 Rounding 0.6224999999999999
8 uniform-8 4 Circle 0.2500000000000001
8 uniform-8 5 RRG 0.748496732026144
8 uniform-8 5 Floor 0.7424999999999999
8 uniform-8 5 Rounding 0.6774999999999999
8 uniform-8 5 Circle 0.25000000000000006
8 uniform-8 6 RRG 0.875
8 uniform-8 6 Floor 0.87
8 uniform-8 6 Rounding 0.76
8 uniform-8 6 Circle 0.24999999999999992
8 uniform-8 7 RRG 1.0
8 uniform-8 7 Floor 1.0
8 uniform-8 7 Rounding 1.0
8 uniform-8 7 Circle 0.25
8 permutation-8 2 RRG 0.3514655172413793
8 permutation-8 2 Floor 1.0
8 permutation-8 2 Rounding 1.0
8 permutation-8 2 Circle 0.25
8 permutation-8 3 RRG 0.4855304621848739
8 permutation-8 3 Floor 1.0
8 permutation-8 3 Rounding 1.0
8 permutation-8 3 Circle 0.25
8 permutation-8 4 RRG 0.48628431005269235
8 permutation-8 4 Floor 1.0
8 permutation-8 4 Rounding 1.0
8 permutation-8 4 Circle 0.25
8 permutation-8 5 RRG 0.515155529953917
8 permutation-8 5 Floor 1.0
8 permutation-8 5 Rounding 1.0
8 permutation-8 5 Circle 0.25
8 permutation-8 6 RRG 0.5343749999999999
8 permutation-8 6 Floor 1.0
8 permutation-8 6 Rounding 1.0
8 permutation-8 6 Circle 0.25
8 permutation-8 7 RRG 0.5714285714285714
8 permutation-8 7 Floor 1.0
8 permutation-8 7 Rounding 1.0
8 permutation-8 7 Circle 0.25
8 random-skewed-8 2 RRG 0.3624385366080147
8 random-skewed-8 2 Floor 0.4325
8 random-skewed-8 2 Rounding 0.6025
8 random-skewed-8 2 Circle 0.250262788323301
