N matrix d Alg throughput
8 chessboard-8 2 RRG 0.3399287910157475
8 chessboard-8 2 Circle 0.2499999999999999
8 chessboard-8 3 RRG 0.548468903804306
8 chessboard-8 3 Circle 0.2500000000000001
8 chessboard-8 4 RRG 0.6516564487419505
8 chessboard-8 4 Circle 0.2499999999999999
8 chessboard-8 5 RRG 0.7197045402927756
8 chessboard-8 5 Circle 0.25
8 chessboard-8 6 RRG 0.7820271833429728
8 chessboard-8 6 Circle 0.2500000000000001
8 chessboard-8 7 RRG 0.7983193277310924
8 chessboard-8 7 Circle 0.2500000000000001
8 uniform-8 2 RRG 0.3897727272727273
8 uniform-8 2 Circle 0.2500000000000001
8 uniform-8 3 RRG 0.5660387660387661
8 uniform-8 3 Circle 0.24999999999999992
8 uniform-8 4 RRG 0.6746936274509804
8 uniform-8 4 Circle 0.2500000000000001
8 uniform-8 5 RRG 0.748496732026144
8 uniform-8 5 Circle 0.25000000000000006
8 uniform-8 6 RRG 0.875
8 uniform-8 6 Circle 0.24999999999999992
8 uniform-8 7 RRG 1.0
8 uniform-8 7 Circle 0.25
8 permutation-8 2 RRG 0.3514655172413793
8 permutation-8 2 Circle 0.25
8 permutation-8 3 RRG 0.4855304621848739
8 permutation-8 3 Circle 0.25
8 permutation-8 4 RRG 0.48628431005269235
8 permutation-8 4 Circle 0.25
8 permutation-8 5 RRG 0.515155529953917
8 permutation-8 5 Circle 0.25
8 permutation-8 6 RRG 0.5343749999999999
8 permutation-8 6 Circle 0.25
8 permutation-8 7 RRG 0.5714285714285714
8 permutation-8 7 Circle 0.25
8 random-skewed-8 2 RRG 0.3624385366080147
8 random-skewed-8 2 Circle 0.250262788323301
8 random-skewed-8 3 RRG 0.487293497281496
8 random-skewed-8 3 Circle 0.2502627883233087
8 random-skewed-8 4 RRG 0.5488355193846342
8 random-skewed-8 4 Circle 0.25026278832333737
8 random-skewed-8 5 RRG 0.5826764521123152
8 random-skewed-8 5 Circle 0.2502627883233022
8 random-skewed-8 6 RRG 0.6225482443959632
8 random-skewed-8 6 Circle 0.2502627883233087
8 random-skewed-8 7 RRG 0.6440928170687321
8 random-skewed-8 7 Circle 0.25026278832333737
8 skew-8-0.1 2 RRG 0.3849566024230077
8 skew-8-0.1 2 Circle 0.25
8 skew-8-0.1 3 RRG 0.5599172855691141
8 skew-8-0.1 3 Circle 0.2499999999999999
8 skew-8-0.1 4 RRG 0.6752807803777097
8 skew-8-0.1 4 Circle 0.25
8 skew-8-0.1 5 RRG 0.744810622693809
8 skew-8-0.1 5 Circle 0.2500000000000001
8 skew-8-0.1 6 RRG 0.8338839880792832
8 skew-8-0.1 6 Circle 0.2499999999999999
8 skew-8-0.1 7 RRG 0.9302325581395345
8 skew-8-0.1 7 Circle 0.25000000000000006
8 skew-8-0.2 2 RRG 0.3868365278495903
8 skew-8-0.2 2 Circle 0.24999999999999994
8 skew-8-0.2 3 RRG 0.5603322939009961
8 skew-8-0.2 3 Circle 0.24999999999999997
8 skew-8-0.2 4 RRG 0.6410258565411727
8 skew-8-0.2 4 Circle 0.24999999999999994
8 skew-8-0.2 5 RRG 0.7502970841467229
8 skew-8-0.2 5 Circle 0.24999999999999992
8 skew-8-0.2 6 RRG 0.7820544739411743
8 skew-8-0.2 6 Circle 0.24999999999999997
8 skew-8-0.2 7 RRG 0.8695652173913043
8 skew-8-0.2 7 Circle 0.24999999999999994
8 skew-8-0.3 2 RRG 0.36704784930492584
8 skew-8-0.3 2 Circle 0.24999999999999992
8 skew-8-0.3 3 RRG 0.553015631195702
8 skew-8-0.3 3 Circle 0.24999999999999992
8 skew-8-0.3 4 RRG 0.6277222207982182
8 skew-8-0.3 4 Circle 0.24999999999999992
8 skew-8-0.3 5 RRG 0.7116060130243655
8 skew-8-0.3 5 Circle 0.25000000000000006
8 skew-8-0.3 6 RRG 0.7431284357821089
