Alg d throughput matrix
Floor 4 0.4549999999999999 Sinkhorn_topoopt
Optimal 4 0.5510496183206106 uniform-16
RRG 4 0.3742586172084961 Sinkhorn_heatmap1
Ring 4 0.1249999999999997 skew-16-0.2
Ring 4 0.1249999999999997 skew-16-0.3
Rounding 4 0.47 uniform-16
Floor 6 0.5975 skew-16-0.2
Optimal 6 0.6250004323880403 uniform-16
RRG 6 0.430107163567736 permutation-16
Ring 6 0.1249999999999998 skew-16-0.3
Ring 6 0.1249999999999998 skew-16-0.5
Rounding 6 0.5475000000000001 uniform-16
Floor 8 0.6699999999999999 skew-16-0.3
Optimal 8 0.6818181818181815 uniform-16
RRG 8 0.4578716502057423 permutation-16
Ring 8 0.1249999999999997 skew-16-0.3
Rounding 8 0.6074999999999999 uniform-16
Floor 10 0.73 chessboard-16
Optimal 10 0.7500000248966746 uniform-16
RRG 10 0.48109375 permutation-16
Ring 10 0.1249999999999997 skew-16-0.7
Rounding 10 0.6875 uniform-16
Floor 12 0.74 chessboard-16
Optimal 12 0.7911392405063293 skew-16-0.3
RRG 12 0.4954427083333333 permutation-16
Ring 12 0.1249999999999998 skew-16-0.3
Ring 12 0.1249999999999998 skew-16-0.5
Rounding 12 0.7424999999999999 skew-16-0.1
Floor 14 0.8125 skew-16-0.5
Floor 14 0.8125 skew-16-0.6
Optimal 14 0.8241758241758241 skew-16-0.5
RRG 14 0.5162946428571429 permutation-16
Ring 14 0.1249999999999997 skew-16-0.2
Ring 14 0.1249999999999997 skew-16-0.3
Rounding 14 0.765 skew-16-0.4
