N matrix d Alg RRGIter throughput
8 chessboard-8 2 RRG 10 0.40691072016881985
8 chessboard-8 2 Floor NA 0.43999999999999995
8 chessboard-8 2 Rounding NA 0.43999999999999995
8 chessboard-8 2 Alt_Rounding NA 0.42000000000000004
8 chessboard-8 2 Circle NA 0.2499999999999999
8 chessboard-8 2 Chord NA 0.375
8 chessboard-8 3 RRG 10 0.5308979345923419
8 chessboard-8 3 Floor NA 0.5800000000000001
8 chessboard-8 3 Rounding NA 0.56
8 chessboard-8 3 Alt_Rounding NA 0.53
8 chessboard-8 3 Circle NA 0.2500000000000001
8 chessboard-8 3 Chord NA 0.4761904761904762
8 chessboard-8 4 RRG 10 0.6574978581725895
8 chessboard-8 4 Floor NA 0.69
8 chessboard-8 4 Rounding NA 0.6
8 chessboard-8 4 Alt_Rounding NA 0.62
8 chessboard-8 4 Circle NA 0.2499999999999999
8 chessboard-8 4 Chord NA 0.5000000000000001
8 chessboard-8 5 RRG 10 0.7207575413457767
8 chessboard-8 5 Floor NA 0.77
8 chessboard-8 5 Rounding NA 0.72
8 chessboard-8 5 Alt_Rounding NA 0.74
8 chessboard-8 5 Circle NA 0.25
8 chessboard-8 5 Chord NA 0.45
8 chessboard-8 6 RRG 10 0.7518796992481203
8 chessboard-8 6 Floor NA 0.77
8 chessboard-8 6 Rounding NA 0.79
8 chessboard-8 6 Alt_Rounding NA 0.78
8 chessboard-8 6 Circle NA 0.2500000000000001
8 chessboard-8 6 Chord NA 0.4166666666666667
8 chessboard-8 7 RRG 10 0.7983193277310924
8 chessboard-8 7 Floor NA 0.8
8 chessboard-8 7 Rounding NA 0.81
8 chessboard-8 7 Alt_Rounding NA 0.81
8 chessboard-8 7 Circle NA 0.2500000000000001
8 chessboard-8 7 Chord NA 0.3928571428571429
8 uniform-8 2 RRG 10 0.42556818181818185
8 uniform-8 2 Floor NA 0.42000000000000004
8 uniform-8 2 Rounding NA 0.42999999999999994
8 uniform-8 2 Alt_Rounding NA 0.42000000000000004
8 uniform-8 2 Circle NA 0.2500000000000001
8 uniform-8 2 Chord NA 0.37500000000000006
8 uniform-8 3 RRG 10 0.5437102173944279
8 uniform-8 3 Floor NA 0.5800000000000001
8 uniform-8 3 Rounding NA 0.59
8 uniform-8 3 Alt_Rounding NA 0.55
8 uniform-8 3 Circle NA 0.24999999999999992
8 uniform-8 3 Chord NA 0.5833333333333334
8 uniform-8 4 RRG 10 0.6721200980392157
8 uniform-8 4 Floor NA 0.6799999999999999
8 uniform-8 4 Rounding NA 0.62
8 uniform-8 4 Alt_Rounding NA 0.6499999999999999
8 uniform-8 4 Circle NA 0.2500000000000001
8 uniform-8 4 Chord NA 0.5000000000000001
8 uniform-8 5 RRG 10 0.7521568627450982
8 uniform-8 5 Floor NA 0.74
8 uniform-8 5 Rounding NA 0.6499999999999999
8 uniform-8 5 Alt_Rounding NA 0.6599999999999999
8 uniform-8 5 Circle NA 0.25000000000000006
8 uniform-8 5 Chord NA 0.45000000000000007
8 uniform-8 6 RRG 10 0.875
8 uniform-8 6 Floor NA 0.87
8 uniform-8 6 Rounding NA 0.71
8 uniform-8 6 Alt_Rounding NA 0.73
8 uniform-8 6 Circle NA 0.24999999999999992
8 uniform-8 6 Chord NA 0.4166666666666667
8 uniform-8 7 RRG 10 1.0
8 uniform-8 7 Floor NA 1.0
8 uniform-8 7 Rounding NA 1.0
8 uniform-8 7 Alt_Rounding NA 1.0
8 uniform-8 7 Circle NA 0.25
8 uniform-8 7 Chord NA 0.39285714285714285
8 permutation-8 2 RRG 10 0.33867174867174865
8 permutation-8 2 Floor NA 1.0
8 permutation-8 2 Rounding NA 1.0
8 permutation-8 2 Alt_Rounding NA 1.0
8 permutation-8 2 Circle NA 0.25
8 permutation-8 2 Chord NA 0.375
8 permutation-8 3 RRG 10 0.4252448305922226
8 permutation-8 3 Floor NA 1.0
8 permutation-8 3 Rounding NA 1.0
8 permutation-8 3 Alt_Rounding NA 1.0
8 permutation-8 3 Circle NA 0.25
8 permutation-8 3 Chord NA 0.5833333333333334
8 permutation-8 4 RRG 10 0.49868968691107607
8 permutation-8 4 Floor NA 1.0
8 permutation-8 4 Rounding NA 1.0
8 permutation-8 4 Alt_Rounding NA 1.0
8 permutation-8 4 Circle NA 0.25
8 permutation-8 4 Chord NA 0.5
8 permutation-8 5 RRG 10 0.5085483870967742
8 permutation-8 5 Floor NA 1.0
8 permutation-8 5 Rounding NA 1.0
8 permutation-8 5 Alt_Rounding NA 1.0
8 permutation-8 5 Circle NA 0.25
8 permutation-8 5 Chord NA 0.45
8 permutation-8 6 RRG 10 0.5364583333333334
8 permutation-8 6 Floor NA 1.0
8 permutation-8 6 Rounding NA 1.0
8 permutation-8 6 Alt_Rounding NA 1.0
8 permutation-8 6 Circle NA 0.25
8 permutation-8 6 Chord NA 0.4166666666666667
