mygrep n d matrix alg k throughputSH throughputMH
mygrep 8 4 chessboard-8 vermilion 2 0.625 1
mygrep 8 4 chessboard-8 vermilion 3 0.8333333333333334 1
mygrep 8 4 uniform-8 vermilion 2 0.875 1
mygrep 8 4 uniform-8 vermilion 3 0.875 1
mygrep 8 4 permutation-8 vermilion 2 0.5625 1
mygrep 8 4 permutation-8 vermilion 3 0.7083333333333333 1
mygrep 8 4 skew-8-0.1 vermilion 2 1.4583333333333333 1
mygrep 8 4 skew-8-0.1 vermilion 3 0.9722222222222221 1
mygrep 8 4 skew-8-0.2 vermilion 2 0.5468750000000001 1
mygrep 8 4 skew-8-0.2 vermilion 3 0.7291666666666667 1
mygrep 8 4 skew-8-0.3 vermilion 2 1.25 1
mygrep 8 4 skew-8-0.3 vermilion 3 1.6666666666666667 1
mygrep 8 4 skew-8-0.4 vermilion 2 0.7291666666666667 1
mygrep 8 4 skew-8-0.4 vermilion 3 1.4583333333333335 1
mygrep 8 4 skew-8-0.5 vermilion 2 1.7499999999999998 1
mygrep 8 4 skew-8-0.5 vermilion 3 1.1666666666666665 1
mygrep 8 4 skew-8-0.6 vermilion 2 1.0937500000000002 1
mygrep 8 4 skew-8-0.6 vermilion 3 0.7291666666666667 1
mygrep 8 4 skew-8-0.7 vermilion 2 1.458333333333333 1
mygrep 8 4 skew-8-0.7 vermilion 3 1.944444444444444 1
mygrep 8 4 skew-8-0.8 vermilion 2 2.1875000000000004 1
mygrep 8 4 skew-8-0.8 vermilion 3 1.4583333333333337 1
mygrep 8 4 skew-8-0.9 vermilion 2 4.375000000000001 1
mygrep 8 4 skew-8-0.9 vermilion 3 2.9166666666666674 1
mygrep 16 4 chessboard-16 vermilion 2 1.2916666666666665 1
mygrep 16 4 chessboard-16 vermilion 3 0.8611111111111109 1
mygrep 16 4 uniform-16 vermilion 2 0.9375 1
mygrep 16 4 uniform-16 vermilion 3 0.9375 1
mygrep 16 4 permutation-16 vermilion 2 0.53125 1
mygrep 16 4 permutation-16 vermilion 3 0.6875 1
mygrep 16 4 skew-16-0.1 vermilion 2 1.5625000000000007 1
mygrep 16 4 skew-16-0.1 vermilion 3 1.041666666666667 1
mygrep 16 4 skew-16-0.2 vermilion 2 1.171875 1
mygrep 16 4 skew-16-0.2 vermilion 3 1.171875 1
mygrep 16 4 skew-16-0.3 vermilion 2 1.3392857142857144 1
